Version_Num,PF_Visualised,RRT_Used,Time,Percent_Explored,Time in Mins,Deaths
1,TRUE,TRUE,1241.859,0.8571429,20.69765,1
2,FALSE,TRUE,1370.207,0.8571429,22.83678333,1
1,TRUE,TRUE,1502.409,0.9047619,25.04015,0
1,TRUE,TRUE,2329.883,0.8095238,38.83138333,1
1,TRUE,TRUE,1803.435,0.9047619,30.05725,1
1,TRUE,TRUE,921.2595,0.8095238,15.354325,1
1,TRUE,TRUE,931.9636,0.5714286,15.53272667,1
1,TRUE,TRUE,1402.1451,0.8571429,23.369085,0
3,TRUE,FALSE,4586.647,0.2857143,76.44411667,1
3,TRUE,FALSE,136.0831,0.095238,2.268051667,2
1,TRUE,TRUE,888.5767,0.857143,14.80961167,0
2,FALSE,TRUE,672.3343,0.4285714,11.20557167,0
3,TRUE,FALSE,179.234,0.4285714,2.987233333,0
4,FALSE,FALSE,318.4333,0.428571,5.307221667,0
4,FALSE,FALSE,1845.859,0.8571429,30.76431667,0
3,TRUE,FALSE,1480.192,0.904762,24.66986667,2
3,TRUE,FALSE,673.26,0.190476,11.221,4
1,TRUE,TRUE,135,0.4285714,2.25,0
4,FALSE,FALSE,368.7354,0.428571,6.14559,0
3,TRUE,FALSE,1321.465,0.476191,22.02441667,4
4,FALSE,FALSE,1456.566,0.809524,24.2761,0
3,TRUE,FALSE,513.5103,0.190476,8.558505,0
2,FALSE,TRUE,927.336,0.476191,15.4556,0
3,TRUE,FALSE,761.4394,0.761905,12.69065667,2
2,FALSE,TRUE,1523,0.809524,25.38333333,0
3,TRUE,FALSE,1233,0.9047619,20.55,1
4,FALSE,FALSE,151.2129,0.380952,2.520215,2
1,TRUE,TRUE,510.5366,0.761905,8.508943333,1
3,TRUE,FALSE,191.4371,0.190476,3.190618333,1
1,TRUE,TRUE,607.626,0.476191,10.1271,0
4,FALSE,FALSE,1772.875,0.857143,29.54791667,1
1,TRUE,TRUE,1541.908,0.857143,25.69846667,1
2,FALSE,TRUE,2000.173,0.9047619,33.33621667,0
2,FALSE,TRUE,521.7881,0.476191,8.696468333,0
4,FALSE,FALSE,934.616,0.857143,15.57693333,0
4,FALSE,FALSE,895.9396,0.809524,14.93232667,2
2,FALSE,TRUE,1303.061,0.8571429,21.71768333,1
4,FALSE,FALSE,806.075,0.4761905,13.43458333,0
2,FALSE,TRUE,419.9926,0.238095,6.999876667,1
2,FALSE,TRUE,442.6897,0.4761905,7.378161667,0
3,TRUE,FALSE,189.9291,0.190476,3.165485,1
2,FALSE,TRUE,979.6797,0.809524,16.327995,1
1,TRUE,TRUE,227.7902,0.380952,3.796503333,1
4,FALSE,FALSE,867.2579,0.904762,14.45429833,1
4,FALSE,FALSE,632.3576,0.761905,10.53929333,2
3,TRUE,FALSE,234.8798,0.476191,3.914663333,2
1,TRUE,TRUE,552.0111,0.761905,9.200185,2
1,TRUE,TRUE,208.5258,0.476191,3.47543,1
4,FALSE,FALSE,800.9279,0.4761905,13.34879833,0
3,TRUE,FALSE,166.0479,0.285714,2.767465,1
2,FALSE,TRUE,889.3383,0.7619048,14.822305,1
4,FALSE,FALSE,781.5933,0.761905,13.026555,0
